movieId,ranking,year
gt3Ygdhok9n0,14732,2023
up1XfpHS8CVl,12522,2015
up1XfpHS8CVl,13547,2016
up1XfpHS8CVl,6567,2017
up1XfpHS8CVl,7470,2018
up1XfpHS8CVl,7560,2019
up1XfpHS8CVl,9175,2020
up1XfpHS8CVl,9474,2021
up1XfpHS8CVl,10160,2022
up1XfpHS8CVl,4850,2023
4ypHQUszV2Ls,7733,2015
4ypHQUszV2Ls,4886,2016
4ypHQUszV2Ls,4695,2017
4ypHQUszV2Ls,4947,2018
4ypHQUszV2Ls,5430,2019
4ypHQUszV2Ls,4899,2020
4ypHQUszV2Ls,4446,2021
4ypHQUszV2Ls,4556,2022
4ypHQUszV2Ls,7961,2023
EyRZMCjQJRIc,15382,2018
EyRZMCjQJRIc,16634,2019
EyRZMCjQJRIc,17684,2020
EyRZMCjQJRIc,18863,2021
EyRZMCjQJRIc,19489,2022
EyRZMCjQJRIc,21409,2023
LBQK9juxpYwM,16464,2023
QRGZVAplnE0u,7989,2016
QRGZVAplnE0u,9951,2017
QRGZVAplnE0u,8132,2018
QRGZVAplnE0u,8810,2019
QRGZVAplnE0u,10562,2020
QRGZVAplnE0u,11104,2021
QRGZVAplnE0u,11841,2022
QRGZVAplnE0u,10780,2023
DsuLEdWDNW1p,2599,2015
DsuLEdWDNW1p,2275,2016
DsuLEdWDNW1p,2416,2017
DsuLEdWDNW1p,2345,2018
DsuLEdWDNW1p,2396,2019
DsuLEdWDNW1p,2435,2020
DsuLEdWDNW1p,2637,2021
DsuLEdWDNW1p,3103,2022
DsuLEdWDNW1p,3750,2023
tqVWhW7UEkMb,12306,2015
tqVWhW7UEkMb,13320,2016
tqVWhW7UEkMb,14304,2017
tqVWhW7UEkMb,15635,2018
tqVWhW7UEkMb,16872,2019
tqVWhW7UEkMb,8796,2020
tqVWhW7UEkMb,10260,2021
tqVWhW7UEkMb,9750,2022
tqVWhW7UEkMb,13195,2023
zcwhKhLdKjyr,11132,2016
zcwhKhLdKjyr,7014,2017
zcwhKhLdKjyr,7019,2018
zcwhKhLdKjyr,5048,2019
zcwhKhLdKjyr,4004,2020
zcwhKhLdKjyr,4007,2021
zcwhKhLdKjyr,4013,2022
zcwhKhLdKjyr,3511,2023
0nKkNjyfa2MQ,4531,2015
0nKkNjyfa2MQ,4789,2016
0nKkNjyfa2MQ,3685,2017
0nKkNjyfa2MQ,3929,2018
0nKkNjyfa2MQ,4300,2019
0nKkNjyfa2MQ,4225,2020
0nKkNjyfa2MQ,4495,2021
0nKkNjyfa2MQ,4602,2022
0nKkNjyfa2MQ,5445,2023
sfhfCUBtiqVM,6009,2017
sfhfCUBtiqVM,5001,2018
sfhfCUBtiqVM,3011,2019
sfhfCUBtiqVM,1016,2020
sfhfCUBtiqVM,363,2021
sfhfCUBtiqVM,347,2022
sfhfCUBtiqVM,511,2023
4IswwV4cZ3Op,16934,2019
4IswwV4cZ3Op,17898,2020
4IswwV4cZ3Op,19027,2021
4IswwV4cZ3Op,19697,2022
4IswwV4cZ3Op,21461,2023
J8QjI50ekbph,13979,2021
J8QjI50ekbph,14544,2022
J8QjI50ekbph,17607,2023
efsdlXYL9L34,1508,2015
efsdlXYL9L34,1485,2016
efsdlXYL9L34,1688,2017
efsdlXYL9L34,1711,2018
efsdlXYL9L34,1846,2019
efsdlXYL9L34,1861,2020
efsdlXYL9L34,1986,2021
efsdlXYL9L34,2179,2022
efsdlXYL9L34,2565,2023
cT3b2vh8nunD,8637,2016
cT3b2vh8nunD,10431,2017
cT3b2vh8nunD,11774,2018
cT3b2vh8nunD,12923,2019
cT3b2vh8nunD,14793,2020
cT3b2vh8nunD,15903,2021
cT3b2vh8nunD,16536,2022
cT3b2vh8nunD,19254,2023
Rz00lA0yh0Z0,6029,2015
Rz00lA0yh0Z0,6053,2016
Rz00lA0yh0Z0,5214,2017
Rz00lA0yh0Z0,6147,2018
Rz00lA0yh0Z0,6126,2019
Rz00lA0yh0Z0,6151,2020
Rz00lA0yh0Z0,6243,2021
Rz00lA0yh0Z0,7138,2022
Rz00lA0yh0Z0,9154,2023
3WcZb12a4Kk6,6996,2015
3WcZb12a4Kk6,6200,2016
3WcZb12a4Kk6,5869,2017
3WcZb12a4Kk6,6528,2018
3WcZb12a4Kk6,5681,2019
3WcZb12a4Kk6,5818,2020
3WcZb12a4Kk6,5540,2021
3WcZb12a4Kk6,5664,2022
3WcZb12a4Kk6,9317,2023
VhLQCHghRusE,7169,2015
VhLQCHghRusE,7826,2016
VhLQCHghRusE,5898,2017
VhLQCHghRusE,6566,2018
VhLQCHghRusE,6778,2019
VhLQCHghRusE,4902,2020
VhLQCHghRusE,4730,2021
VhLQCHghRusE,4851,2022
VhLQCHghRusE,3590,2023
tUcJdqxKkOJd,9358,2017
tUcJdqxKkOJd,10756,2018
tUcJdqxKkOJd,11908,2019
tUcJdqxKkOJd,10487,2020
tUcJdqxKkOJd,11040,2021
tUcJdqxKkOJd,11767,2022
tUcJdqxKkOJd,14263,2023
ZhmO3IyYVlFL,19066,2020
ZhmO3IyYVlFL,20098,2021
ZhmO3IyYVlFL,20842,2022
ZhmO3IyYVlFL,22740,2023
l29CqMKNcoSX,20429,2021
l29CqMKNcoSX,20522,2022
l29CqMKNcoSX,22694,2023
DmLIVpIsKzrN,7803,2015
DmLIVpIsKzrN,8786,2016
DmLIVpIsKzrN,10985,2017
DmLIVpIsKzrN,12206,2018
DmLIVpIsKzrN,13386,2019
DmLIVpIsKzrN,12226,2020
DmLIVpIsKzrN,13120,2021
DmLIVpIsKzrN,13655,2022
DmLIVpIsKzrN,16513,2023
6xUItHVpMW6T,9116,2020
6xUItHVpMW6T,9423,2021
6xUItHVpMW6T,10082,2022
6xUItHVpMW6T,9728,2023
m1tXue0BnlpD,6500,2023
8tBGhUoYVOZw,8777,2015
8tBGhUoYVOZw,9666,2016
8tBGhUoYVOZw,8228,2017
8tBGhUoYVOZw,8918,2018
8tBGhUoYVOZw,9708,2019
8tBGhUoYVOZw,11496,2020
8tBGhUoYVOZw,12206,2021
8tBGhUoYVOZw,12806,2022
8tBGhUoYVOZw,15246,2023
3p2ShrBkYpuK,16798,2021
3p2ShrBkYpuK,17398,2022
3p2ShrBkYpuK,16625,2023
JYks5i60TRig,13990,2016
JYks5i60TRig,15675,2017
JYks5i60TRig,16338,2018
JYks5i60TRig,17613,2019
JYks5i60TRig,18381,2020
JYks5i60TRig,14017,2021
JYks5i60TRig,11302,2022
JYks5i60TRig,11118,2023
AYlpXcNp5hHq,8095,2015
AYlpXcNp5hHq,9013,2016
AYlpXcNp5hHq,7154,2017
AYlpXcNp5hHq,7166,2018
AYlpXcNp5hHq,7095,2019
AYlpXcNp5hHq,7375,2020
AYlpXcNp5hHq,8241,2021
AYlpXcNp5hHq,7477,2022
AYlpXcNp5hHq,10125,2023
6Y9LQsMLoQmY,7963,2015
6Y9LQsMLoQmY,8892,2016
6Y9LQsMLoQmY,7886,2017
6Y9LQsMLoQmY,8489,2018
6Y9LQsMLoQmY,7103,2019
6Y9LQsMLoQmY,7118,2020
6Y9LQsMLoQmY,7107,2021
6Y9LQsMLoQmY,7309,2022
6Y9LQsMLoQmY,10131,2023
61FI065xssnq,7751,2015
61FI065xssnq,8694,2016
61FI065xssnq,7756,2017
61FI065xssnq,8380,2018
61FI065xssnq,8158,2019
61FI065xssnq,8322,2020
61FI065xssnq,7208,2021
61FI065xssnq,7443,2022
61FI065xssnq,10191,2023
lzc3pdMAb3fT,11282,2015
lzc3pdMAb3fT,12390,2016
lzc3pdMAb3fT,12390,2017
lzc3pdMAb3fT,13565,2018
lzc3pdMAb3fT,14815,2019
lzc3pdMAb3fT,16143,2020
lzc3pdMAb3fT,17322,2021
lzc3pdMAb3fT,17979,2022
lzc3pdMAb3fT,20279,2023
a1B35KWdDBFU,4015,2015
